"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)","Latest: Potential 3 (V)"
0,2.3602,4.03541,3.48474
1,2.35775,4.03541,3.47985
2,2.35653,4.03419,3.47497
3,2.35287,4.03419,3.4652
4,2.35165,4.03297,3.4652
5,2.35043,4.03297,3.45543
6,2.34921,4.03175,3.45055
7,2.34676,4.03175,3.44567
8,2.34432,4.03053,3.4359
9,2.3431,4.0293,3.4359
10,2.34188,4.0293,3.43101
11,2.33944,4.02808,3.42125
12,2.337,4.02686,3.42125
13,2.33578,4.02686,3.41148
14,2.33455,4.02564,3.40659
15,2.33211,4.02564,3.40171
16,2.33211,4.02442,3.39683
17,2.32967,4.0232,3.39194
18,2.32723,4.0232,3.38706
19,2.32479,4.02198,3.38217
20,2.32357,4.02198,3.37729
21,2.32112,4.02076,3.36752
22,2.32112,4.02076,3.36264
23,2.31746,4.01954,3.35775
24,2.31624,4.01832,3.35287
25,2.31502,4.01832,3.34799
26,2.31258,4.01709,3.3431
27,2.31136,4.01709,3.33822
28,2.30891,4.01587,3.33333
29,2.30769,4.01465,3.32845
30,2.30647,4.01465,3.32357
31,2.30403,4.01343,3.31868
32,2.30281,4.01343,3.3138
33,2.30037,4.01221,3.30403
34,2.29915,4.01221,3.30403
35,2.29792,4.01099,3.29426
36,2.2967,4.00977,3.28938
37,2.29548,4.00733,3.28938
38,2.29304,4.0061,3.27961
39,2.29182,4.0061,3.27473
40,2.28938,4.00488,3.26984
41,2.28816,4.00488,3.26984
42,2.28694,4.00366,3.26007
43,2.28449,4.00244,3.25519
44,2.28449,4.00244,3.25031
45,2.28205,4.00122,3.24542
46,2.27961,4.00122,3.24054
47,2.27839,4,3.23565
48,2.27717,4,3.23077
49,2.27595,3.99878,3.22589
50,2.27473,3.99878,3.221
51,2.27228,3.99756,3.21612
52,2.27106,3.99756,3.21123
53,2.26862,3.99634,3.21123
54,2.2674,3.99634,3.20635
55,2.26618,3.99512,3.19658
56,2.26618,3.99512,3.1917
57,2.26252,3.9939,3.1917
58,2.26129,3.9939,3.18681
59,2.26007,3.99267,3.18193
60,2.25885,3.99267,3.17705
61,2.25641,3.99145,3.17216
62,2.25519,3.99023,3.16728
63,2.25519,3.99023,3.16239
64,2.25275,3.98901,3.16239
65,2.25153,3.98779,3.15263
66,2.24786,3.98779,3.15263
67,2.24908,3.98779,3.14774
68,2.24664,3.98657,3.13797
69,2.2442,3.98535,3.13797
70,2.2442,3.98535,3.13309
71,2.24298,3.98413,3.12821
72,2.24176,3.98413,3.12332
73,2.2381,3.98291,3.11844
74,2.2381,3.98291,3.11355
75,2.23687,3.98169,3.10867
76,2.23443,3.98169,3.10379
77,2.23321,3.98046,3.0989
78,2.23199,3.98046,3.0989
79,2.22955,3.97924,3.09402
80,2.22711,3.97924,3.08425
81,2.22711,3.97802,3.08425
82,2.22466,3.9768,3.07937
83,2.22466,3.9768,3.07448
84,2.22222,3.9768,3.0696
85,2.221,3.97558,3.06471
86,2.221,3.97558,3.05983
87,2.21856,3.97436,3.05495
88,2.21734,3.97436,3.05495
89,2.21612,3.97314,3.05006
90,2.2149,3.97314,3.04518
91,2.21245,3.97192,3.04029
92,2.21123,3.97192,3.03541
93,2.20879,3.9707,3.03053
94,2.20879,3.9707,3.02564
95,2.20635,3.96948,3.02564
96,2.20513,3.96825,3.02076
97,2.20391,3.96825,3.01587
98,2.20269,3.96703,3.01099
99,2.20147,3.96703,3.00611
100,2.20024,3.96581,3.00122
101,2.19902,3.96581,2.99634
102,2.1978,3.96459,2.99145
103,2.19536,3.96459,2.98657
104,2.19292,3.96337,2.98657
105,2.19292,3.96337,2.98169
106,2.1917,3.96215,2.9768
107,2.1917,3.96215,2.97192
108,2.18926,3.96215,2.96703
109,2.18681,3.96093,2.96703
110,2.18559,3.96093,2.96215
111,2.18437,3.95971,2.95727
112,2.18315,3.95971,2.95238
113,2.18193,3.95849,2.95238
114,2.18071,3.95727,2.94261
115,2.17827,3.95727,2.93773
116,2.17827,3.95727,2.93773
117,2.17705,3.95604,2.93285
118,2.1746,3.95482,2.93285
119,2.1746,3.95482,2.92796
120,2.17338,3.95482,2.92308
121,2.16972,3.9536,2.91819
122,2.16972,3.95238,2.91331
123,2.16972,3.95238,2.90843
124,2.16606,3.95238,2.90843
125,2.16484,3.95116,2.90354
126,2.16484,3.95116,2.89866
127,2.16484,3.94994,2.89377
128,2.16117,3.94872,2.89377
129,2.16239,3.94872,2.88889
130,2.15995,3.94872,2.88401
131,2.15873,3.9475,2.87912
132,2.15629,3.9475,2.87424
133,2.15629,3.94628,2.87424
134,2.15507,3.94628,2.86935
135,2.15263,3.94506,2.86447
136,2.15263,3.94506,2.86447
137,2.1514,3.94383,2.85959
138,2.15018,3.94383,2.8547
139,2.14774,3.94261,2.84982
140,2.14774,3.94261,2.84493
141,2.14652,3.94139,2.84493
142,2.14408,3.94139,2.84005
143,2.14286,3.94017,2.83517
144,2.14164,3.94017,2.83517
145,2.14286,3.94017,2.83028
146,2.14042,3.93895,2.8254
147,2.14042,3.93895,2.8254
148,2.13797,3.93895,2.81563
149,2.13675,3.93773,2.81563
150,2.13553,3.93773,2.81563
151,2.13431,3.93651,2.81075
152,2.13309,3.93651,2.80586
153,2.13187,3.93651,2.80098
154,2.13065,3.93529,2.80098
155,2.12943,3.93407,2.79609
156,2.12943,3.93407,2.79121
157,2.12576,3.93285,2.78633
158,2.12576,3.93285,2.78633
159,2.12454,3.93162,2.78144
160,2.12332,3.93162,2.78144
161,2.1221,3.9304,2.77656
162,2.1221,3.93162,2.77167
163,2.12088,3.9304,2.76679
164,2.11844,3.92918,2.76679
165,2.11722,3.92918,2.76191
166,2.11722,3.92918,2.76191
167,2.116,3.92796,2.75702
168,2.116,3.92796,2.75214
169,2.11233,3.92674,2.75214
170,2.11355,3.92674,2.74725
171,2.11111,3.92674,2.74237
172,2.10989,3.92552,2.73748
173,2.10867,3.9243,2.73748
174,2.10867,3.9243,2.7326
175,2.10623,3.9243,2.72772
176,2.10623,3.92308,2.72772
177,2.10501,3.92308,2.72283
178,2.10256,3.92308,2.71795
179,2.10134,3.92186,2.71795
180,2.10134,3.92186,2.71307
181,2.10134,3.92063,2.71307
182,2.0989,3.92063,2.70818
183,2.0989,3.92063,2.7033
184,2.09646,3.91941,2.7033
185,2.09646,3.91819,2.69841
186,2.09402,3.91819,2.69841
187,2.09402,3.91819,2.69353
188,2.0928,3.91697,2.68865
189,2.09158,3.91697,2.68376
190,2.09035,3.91575,2.67888
191,2.08913,3.91575,2.67888
192,2.08913,3.91575,2.67888
193,2.08791,3.91453,2.67399
194,2.08791,3.91453,2.67399
195,2.08547,3.91331,2.66911
196,2.08425,3.91453,2.66423
197,2.08425,3.91331,2.66423
198,2.08181,3.91209,2.65934
199,2.08059,3.91209,2.65934
200,2.08059,3.91209,2.65446
201,2.07814,3.91087,2.64957
202,2.07937,3.91087,2.64957
203,2.0757,3.91087,2.64469
204,2.07448,3.90843,2.6398
205,2.0757,3.90843,2.6398
206,2.07326,3.90843,2.6398
207,2.07326,3.90843,2.63492
208,2.07204,3.9072,2.63004
209,2.0696,3.9072,2.62515
210,2.06838,3.9072,2.62515
211,2.06838,3.90598,2.62515
212,2.06838,3.90476,2.62027
213,2.06593,3.90476,2.61539
214,2.06593,3.90476,2.61539
215,2.06349,3.90354,2.6105
216,2.06349,3.90354,2.6105
217,2.06349,3.90232,2.60562
218,2.06227,3.90232,2.60562
219,2.05983,3.90232,2.60073
220,2.05983,3.90232,2.59585
221,2.05861,3.9011,2.59097
222,2.05739,3.9011,2.59097
223,2.05494,3.89988,2.58608
224,2.05617,3.89988,2.58608
225,2.05494,3.89988,2.5812
226,2.05494,3.89866,2.57631
227,2.05372,3.89866,2.57631
228,2.05128,3.89744,2.57143
229,2.05128,3.89744,2.57631
230,2.04884,3.89744,2.57143
231,2.05006,3.89621,2.56655
232,2.05006,3.89621,2.56655
233,2.04884,3.89621,2.56166
234,2.0464,3.89499,2.56166
235,2.0464,3.89499,2.55678
236,2.04518,3.89499,2.55678
237,2.04396,3.89499,2.55189
238,2.04151,3.89377,2.54701
239,2.04274,3.89377,2.54701
240,2.04274,3.89255,2.54212
241,2.04029,3.89255,2.54212
242,2.03907,3.89133,2.54212
243,2.03907,3.89133,2.53724
244,2.03907,3.89133,2.53724
245,2.03785,3.89133,2.52747
246,2.03541,3.89011,2.52747
247,2.03541,3.89011,2.52747
248,2.03419,3.89011,2.52747
249,2.03419,3.89011,2.52259
250,2.03297,3.88889,2.52259
251,2.03175,3.88889,2.5177
252,2.03052,3.88889,2.51282
253,2.0293,3.88767,2.51282
254,2.0293,3.88767,2.51282
255,2.02808,3.88645,2.50794
256,2.02686,3.88645,2.50794
257,2.02564,3.88645,2.50305
258,2.02564,3.88523,2.50305
259,2.02442,3.88523,2.49817
260,2.02442,3.88523,2.49817
261,2.02198,3.88401,2.49329
262,2.02076,3.88401,2.49329
263,2.02076,3.88278,2.4884
264,2.02076,3.88278,2.4884
265,2.01954,3.88278,2.4884
266,2.01954,3.88278,2.48352
267,2.01709,3.88278,2.48352
268,2.01709,3.88156,2.47863
269,2.01587,3.88156,2.47863
270,2.01465,3.88034,2.47375
271,2.01465,3.88034,2.46887
272,2.01343,3.88034,2.46887
273,2.01343,3.87912,2.46887
274,2.01221,3.87912,2.46398
275,2.00977,3.87912,2.4591
276,2.00977,3.8779,2.4591
277,2.00977,3.8779,2.45421
278,2.00855,3.8779,2.45421
279,2.00733,3.87668,2.45421
280,2.00733,3.87668,2.44933
281,2.0061,3.87546,2.44933
282,2.00488,3.87546,2.44444
283,2.00488,3.87546,2.44444
284,2.00244,3.87424,2.43956
285,2.00122,3.87424,2.43468
286,2.00122,3.87424,2.43468
287,1.99878,3.87424,2.43468
288,2,3.87302,2.42979
289,1.99878,3.87302,2.42491
290,1.99878,3.87179,2.42491
291,1.99756,3.87179,2.42491
292,1.99634,3.87179,2.42002
293,1.99634,3.87057,2.41514
294,1.99512,3.87057,2.41514
295,1.99267,3.87057,2.41514
296,1.9939,3.87057,2.41026
297,1.99267,3.86935,2.41026
298,1.99267,3.86813,2.40537
299,1.99145,3.86813,2.40537
300,1.99023,3.86813,2.40537
301,1.98901,3.86813,2.40049
302,1.98779,3.86691,2.40049
303,1.98657,3.86691,2.39561
304,1.98657,3.86691,2.39561
