"Data Set: T (°C)","Data Set: Ek (mV)","Data Set: Calculated T4","Data Set: Error4 (°C)","Data Set: CalcT5","Data Set: Err5 (°C)"
-200,-5.891,-196.176561734,-3.82343826619,-197.819093618,-2.18090638221
-199,-5.876,-195.431628654,-3.56837134606,-197.012216309,-1.98778369115
-198,-5.861,-194.688673447,-3.31132655317,-196.208313911,-1.7916860887
-197,-5.845,-193.898360484,-3.10163951581,-195.354079548,-1.64592045156
-196,-5.829,-193.110282338,-2.88971766211,-194.503193549,-1.49680645076
-195,-5.813,-192.324430995,-2.67556900454,-193.655637217,-1.3443627825
-194,-5.797,-191.540798458,-2.45920154175,-192.811391928,-1.1886080724
-193,-5.78,-190.710611108,-2.28938889175,-191.917988473,-1.08201152736
-192,-5.763,-189.882910007,-2.11708999303,-191.028279758,-0.971720242051
-191,-5.747,-189.106159834,-1.89384016554,-190.1942622,-0.805737799541
-190,-5.73,-188.283257755,-1.71674224508,-189.311662678,-0.688337322431
-189,-5.713,-187.462813907,-1.53718609266,-188.432693208,-0.567306791522
-188,-5.695,-186.596777497,-1.40322250268,-187.50595204,-0.494047959745
-187,-5.678,-185.78136485,-1.21863515002,-186.63438761,-0.365612390499
-186,-5.66,-184.920634356,-1.07936564384,-185.715438417,-0.284561582522
-185,-5.642,-184.062616117,-0.937383882501,-184.800458824,-0.199541175691
-184,-5.624,-183.207298954,-0.792701045612,-183.889423366,-0.110576634004
-183,-5.606,-182.354671709,-0.645328290656,-182.982306689,-0.0176933109309
-182,-5.588,-181.504723247,-0.495276752975,-182.07908355,0.0790835503479
-181,-5.569,-180.610449295,-0.389550705152,-181.129877587,0.129877587046
-180,-5.55,-179.71913461,-0.280865389751,-180.184952366,0.184952366015
-179,-5.53,-178.784091311,-0.215908688733,-179.194886667,0.194886666822
-178,-5.512,-177.945331007,-0.0546689926016,-178.307827125,0.30782712539
-177,-5.493,-177.06281614,0.0628161396613,-177.375568932,0.375568932036
-176,-5.474,-176.183208641,0.183208640531,-176.447475133,0.447475132804
-175,-5.454,-175.260432747,0.260432747381,-175.47500162,0.475001619632
-174,-5.435,-174.386752601,0.386752600934,-174.555365864,0.555365864352
-173,-5.415,-173.470187501,0.470187501039,-173.591732263,0.591732262805
-172,-5.395,-172.55678535,0.55678535002,-172.632583123,0.632583123474
-171,-5.374,-171.60110089,0.601100889784,-171.630266948,0.630266948036
-170,-5.354,-170.694136176,0.694136175583,-170.680208324,0.680208324134
-169,-5.333,-169.745178219,0.745178219432,-169.687365188,0.687365187814
-168,-5.313,-168.844588529,0.844588529226,-168.74626028,0.746260280367
-167,-5.292,-167.902291696,0.902291696308,-167.76274728,0.762747279769
-166,-5.271,-166.963381437,0.963381437192,-166.783958263,0.783958262585
-165,-5.25,-166.027840721,1.0278407207,-165.80985632,0.809856319705
-164,-5.228,-165.051345979,1.05134597914,-164.794355749,0.794355749485
-163,-5.207,-164.122651835,1.12265183462,-163.829736809,0.829736809094
-162,-5.185,-163.153292517,1.15329251716,-162.824090842,0.824090841937
-161,-5.163,-162.187555214,1.18755521441,-161.823425311,0.823425311326
-160,-5.141,-161.225420586,1.22542058585,-160.827698926,0.827698925501
-159,-5.119,-160.26686934,1.26686934039,-159.836870625,0.836870625139
-158,-5.097,-159.311882236,1.31188223632,-158.850899583,0.850899582697
-157,-5.074,-158.31727663,1.31727662952,-157.825261066,0.825261066004
-156,-5.052,-157.369520091,1.36952009062,-156.84909913,0.849099129614
-155,-5.029,-156.382431903,1.38243190305,-155.833627576,0.833627576245
-154,-5.006,-155.399153762,1.39915376164,-154.82328496,0.823284959584
-153,-4.983,-154.419663968,1.41966396841,-153.81802597,0.818025970471
-152,-4.96,-153.443940884,1.4439408844,-152.817805572,0.81780557185
-151,-4.936,-152.429787641,1.42978764149,-151.77942087,0.779420870291
-150,-4.913,-151.461694704,1.46169470379,-150.789357809,0.789357808874
-149,-4.889,-150.455456534,1.4554565344,-149.761475442,0.761475441871
-148,-4.865,-149.453224108,1.4532241081,-148.738881974,0.738881973625
-147,-4.841,-148.454973182,1.45497318152,-147.721527799,0.721527798508
-146,-4.817,-147.460679581,1.46067958123,-146.709363628,0.709363627564
-145,-4.793,-146.470319204,1.47031920378,-145.702340488,0.702340487506
-144,-4.768,-145.442850364,1.44285036352,-144.658772401,0.658772400816
-143,-4.744,-144.460445767,1.46044576665,-143.662094784,0.662094783562
-142,-4.719,-143.441212253,1.44121225322,-142.629198687,0.629198687014
-141,-4.694,-142.426140553,1.426140553,-141.601667514,0.601667514232
-140,-4.669,-141.415203826,1.41520382597,-140.579447715,0.579447715012
-139,-4.644,-140.408375314,1.40837531449,-139.562486104,0.562486103534
-138,-4.618,-139.365602984,1.36560298408,-138.510367136,0.510367135633
-137,-4.593,-138.367072606,1.36707260623,-137.503968824,0.503968823631
-136,-4.567,-137.332872882,1.33287288202,-136.462722577,0.462722576665
-135,-4.542,-136.342530325,1.34253032539,-135.466670803,0.466670802997
-134,-4.516,-135.316788846,1.31678884614,-134.436073432,0.43607343187
-133,-4.49,-134.295315635,1.29531563538,-133.410819769,0.410819769286
-132,-4.463,-133.23904111,1.23904110958,-132.351728189,0.351728189156
-131,-4.437,-132.22617754,1.22617753975,-131.337191576,0.33719157595
-130,-4.411,-131.217493093,1.21749309341,-130.327826941,0.327826941147
-129,-4.384,-130.174405168,1.17440516756,-129.285055086,0.285055085569
-128,-4.357,-129.135760062,1.13576006174,-128.247738761,0.24773876095
-127,-4.33,-128.10152536,1.10152535996,-127.215816548,0.215816548396
-126,-4.303,-127.071668758,1.07166875829,-126.189227502,0.189227502069
-125,-4.276,-126.046158065,1.0461580649,-125.167911147,0.167911147374
-124,-4.249,-125.0249612,1.02496120002,-124.151807479,0.151807479135
-123,-4.221,-123.970464492,0.970464492064,-123.103512539,0.103512539278
-122,-4.194,-122.95795629,0.957956290491,-122.097843638,0.0978436381699
